0,1
1,1
2,5
3,1
4,1
5,3
6,1
7,1
8,1
9,1
10,1
11,1
12,2
13,1
14,2
15,1
16,2
17,1
18,2
19,1
20,1
21,4
22,2
23,1
24,2
25,1
26,1
27,1
28,1
29,1
30,3
31,1
32,2
33,1
34,2
35,1
36,1
37,3
38,1
39,2
40,4
41,1
42,1
43,1
44,1
45,2
46,1
47,1
48,2
49,1
50,1
51,1
52,2
53,1
54,2
55,1
56,1
57,2
58,4
59,2
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,2
70,1
71,3
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,2
82,1
83,1
84,1
85,1
86,1
87,2
88,1
89,2
90,1
91,4
92,1
93,1
94,2
95,1
96,2
97,2
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,3
106,1
107,1
108,2
109,2
110,2
111,2
112,1
113,4
114,1
115,1
116,1
117,1
118,1
119,2
120,1
121,1
122,1
123,1
124,1
125,1
126,2
127,1
128,1
129,1
130,2
131,2
132,1
133,1
134,1
135,2
136,2
137,1
138,2
139,4
140,1
141,1
142,3
143,4
